,year,BEV081,BEV082
0,1995,123336,113330
1,1995,123336,113330
2,1995,123336,113330
3,1995,123336,113330
4,1996,117365,121826
5,1996,117365,121826
6,1996,117365,121826
7,1996,117365,121826
8,1997,112609,139535
9,1997,112609,139535
10,1997,112609,139535
11,1997,112609,139535
12,1998,118308,139633
13,1998,118308,139633
14,1998,118308,139633
15,1998,118308,139633
16,1999,122449,129464
17,1999,122449,129464
18,1999,122449,129464
19,1999,122449,129464
20,2000,123154,124012
21,2000,123154,124012
22,2000,123154,124012
23,2000,123154,124012
24,2001,125324,114857
25,2001,125324,114857
26,2001,125324,114857
27,2001,125324,114857
28,2002,123066,114381
29,2002,123066,114381
30,2002,123066,114381
31,2002,123066,114381
32,2003,116141,115664
33,2003,116141,115664
34,2003,116141,115664
35,2003,116141,115664
36,2004,115267,113581
37,2004,115267,113581
38,2004,115267,113581
39,2004,115267,113581
40,2005,117082,106881
41,2005,117082,106881
42,2005,117082,106881
43,2005,117082,106881
44,2006,118893,108214
45,2006,118893,108214
46,2006,118893,108214
47,2006,118893,108214
48,2007,126947,114951
49,2007,126947,114951
50,2007,126947,114951
51,2007,126947,114951
52,2008,132644,117334
53,2008,132644,117334
54,2008,132644,117334
55,2008,132644,117334
56,2009,143852,133335
57,2009,143852,133335
58,2009,143852,133335
59,2009,143852,133335
60,2010,147769,130951
61,2010,147769,130951
62,2010,147769,130951
63,2010,147769,130951
64,2011,158864,119443
65,2011,158864,119443
66,2011,158864,119443
67,2011,158864,119443
68,2012,164577,123253
69,2012,164577,123253
70,2012,164577,123253
71,2012,164577,123253
72,2013,169466,127574
73,2013,169466,127574
74,2013,169466,127574
75,2013,169466,127574
76,2014,174572,137459
77,2014,174572,137459
78,2014,174572,137459
79,2014,174572,137459
80,2015,182778,141693
81,2015,182778,141693
82,2015,182778,141693
83,2015,182778,141693
84,2016,215588,161440
85,2016,215588,161440
86,2016,215588,161440
87,2016,215588,161440
88,2017,178130,144597
89,2017,178130,144597
90,2017,178130,144597
91,2017,178130,144597
92,2018,180105,150670
